cnpj,nome,situação,link
41.981.735/0001-20,LM MODAS LTDA,Ativa,http://cnpj.biz/41.981.735/0001-20,
41.949.591/0001-25,VANDAMARA COZER COMERCIO DE ROUPAS LTDA,Ativa,http://cnpj.biz/41.949.591/0001-25,
34.663.487/0004-57,GAROTAS FASHION COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO LTDA,Ativa,http://cnpj.biz/34.663.487/0004-57,
28.907.503/0002-45,PINGO DOCE - COMERCIO DE ALIMENTOS LTDA,Ativa,http://cnpj.biz/28.907.503/0002-45,
41.189.521/0001-16,EDSON DOMINGOS DE MORAES,Ativa,http://cnpj.biz/41.189.521/0001-16,
42.120.982/0001-03,L. E. SZOLOMICKI COMERCIO DE BEBIDAS,Ativa,http://cnpj.biz/42.120.982/0001-03,
42.071.304/0001-90,M2 COMERCIO DE BEBIDAS LTDA,Ativa,http://cnpj.biz/42.071.304/0001-90,
44.265.039/0001-06,TAREK COMERCIO DE ROUPAS LTDA,Ativa,http://cnpj.biz/44.265.039/0001-06,
43.719.502/0001-80,ACCV MOTORS LTDA,Ativa,http://cnpj.biz/43.719.502/0001-80,
43.666.273/0001-82,BOUTIQUE AZUL JEANS LTDA,Ativa,http://cnpj.biz/43.666.273/0001-82,
41.910.899/0001-67,OCCHI COMERCIO DE ROUPAS E ACESSORIOS LTDA,Ativa,http://cnpj.biz/41.910.899/0001-67,
42.425.574/0002-32,L A BORGES TINTAS E MATERIAIS DE CONSTRUCAO LTDA,Ativa,http://cnpj.biz/42.425.574/0002-32,
42.965.629/0001-16,AVIPETS AVIARIO E PET SHOP LTDA,Ativa,http://cnpj.biz/42.965.629/0001-16,
43.811.598/0001-01,ALINE EVELYN DE CRISTO,Ativa,http://cnpj.biz/43.811.598/0001-01,
43.553.979/0001-38,ECOMMERCE CURITIBA LTDA,Ativa,http://cnpj.biz/43.553.979/0001-38,
43.400.609/0001-60,NY COMERCIO DE PRODUTOS OPTICOS LTDA,Ativa,http://cnpj.biz/43.400.609/0001-60,
43.387.904/0001-24,A S MULTIMARCAS LTDA,Ativa,http://cnpj.biz/43.387.904/0001-24,
42.891.535/0001-40,CASA DE CARNES BUTCHERS PRIME LTDA,Ativa,http://cnpj.biz/42.891.535/0001-40,
43.287.546/0001-88,EXCLUSIVA MORENA CALCADOS LTDA,Ativa,http://cnpj.biz/43.287.546/0001-88,
44.692.205/0001-50,SILVA E ANDRADE DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/44.692.205/0001-50,
41.280.064/0001-70,PITBULL DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/41.280.064/0001-70,
41.195.498/0001-72,E. A. S - COMERCIO DE PNEUMATICOS LTDA.,Ativa,http://cnpj.biz/41.195.498/0001-72,
41.140.836/0001-79,MARIANO COMERCIO DE ROUPAS LTDA,Ativa,http://cnpj.biz/41.140.836/0001-79,
41.721.324/0001-04,TANGARA AVIARIO LTDA,Ativa,http://cnpj.biz/41.721.324/0001-04,
42.954.720/0001-36,ALES BEER LTDA,Ativa,http://cnpj.biz/42.954.720/0001-36,
42.950.651/0001-92,RPO COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,Ativa,http://cnpj.biz/42.950.651/0001-92,
42.664.270/0001-47,R R DE OLIVEIRA LOJA VIRTUAL,Ativa,http://cnpj.biz/42.664.270/0001-47,
42.015.135/0001-70,BRUNA KOSTIANOVICZ DE OLIVEIRA,Ativa,http://cnpj.biz/42.015.135/0001-70,
41.590.705/0001-93,G V O LIMPEZA E HIGIENE LTDA,Ativa,http://cnpj.biz/41.590.705/0001-93,
43.271.010/0001-74,CG COMERCIO DE SUCATAS LTDA,Ativa,http://cnpj.biz/43.271.010/0001-74,
43.544.131/0001-42,EDUARDO LUCIANO CELULARES,Ativa,http://cnpj.biz/43.544.131/0001-42,
44.217.296/0001-72,A M ZANONA SERVICOS E COMERCIO DE AUTO PECAS,Ativa,http://cnpj.biz/44.217.296/0001-72,
43.760.726/0001-35,CAMILO COMERCIO DE CARNES LTDA,Ativa,http://cnpj.biz/43.760.726/0001-35,
44.315.812/0001-00,TIAGO ERIKE PEREIRA ,Ativa,http://cnpj.biz/44.315.812/0001-00,
44.476.072/0001-85,F Z MENDES EMBALAGENS DE PAPEL,Ativa,http://cnpj.biz/44.476.072/0001-85,
